Accession,Gene Symbol,Description,candidate_group,high_confidence,Ribosome density change (log2),RNA-seq mRNA change upon Lin28a KD (log2),mean_CLIP_enrichment,CLIP-seq FDR,total_binding_site_count,binding_site_count,dominant_binding_region,5UTR_site_count,CDS_site_count,3UTR_site_count,is_ER_or_protein_folding,is_membrane_or_transmembrane,is_secretory_or_extracellular,is_Golgi_or_trafficking,is_lysosome_or_endosome,is_receptor_or_signaling,is_transporter_or_channel,is_adhesion_or_ECM,is_other_or_unclear,is_adhesion_or_ECM,ER_membrane_core,ER_membrane_broad
NM_028060,Slc35f2,solute carrier family 35 member F2,Not_candidate,False,1.02710898054903,-0.0800803076348,1.6165254769868234,0.113700811548264,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_009579,Slc30a1,zinc transporter 1,A_and_B_overlap,True,1.01783027454558,-0.359405414974,2.7248129340424767,0.0110307772590705,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_017367,Ccni,cyclin-I,Not_candidate,False,1.01760726858436,-0.337232128784,1.46303469932916,0.163796807737501,8,8,3UTR,0,3,5,False,False,False,False,False,False,False,False,True,False,False,False
NM_010560,Il6st,interleukin-6 receptor subunit beta precursor,A_and_B_overlap,True,1.01668518314567,-0.145643295613,1.9505052711826036,0.049403262930768,45,45,CDS,1,24,20,False,False,False,False,False,True,False,False,False,False,False,False
NM_001033242,Cln5,ceroid-lipofuscinosis neuronal protein 5 homolog precursor,Not_candidate,False,1.01642048782978,-0.144074274541,0.9997409443499472,0.360396345542022,12,12,tie,0,6,6,False,False,False,False,False,False,False,False,True,False,False,False
NM_008514,Lrp6,low-density lipoprotein receptor-related protein 6 precursor,A_and_B_overlap,True,1.01432058972332,0.114511410162,2.385227853251077,0.0208084025750865,68,68,CDS,0,41,27,False,False,False,False,False,True,False,False,False,False,False,False
NM_027439,Atp6ap2,renin receptor precursor,A_and_B_overlap,True,1.01336926755209,-0.00532873903085,2.141232611142737,0.0330867817666297,20,20,CDS,0,11,9,False,False,False,False,False,True,False,False,False,False,False,False
NM_175628,A2m,alpha-2-macroglobulin-P precursor,Not_candidate,False,1.00281502627793,1.08066686466,1.1474543237102133,0.284847011126417,28,28,CDS,0,26,2,False,False,False,False,False,False,False,False,True,False,False,False
NM_146034,Ctage5,cutaneous T-cell lymphoma-associated antigen 5 homolog isoform 1,Not_candidate,False,0.997221522614885,-0.301176214909,1.5087231424777967,0.146569294948332,30,30,CDS,0,27,3,False,False,False,False,False,False,False,False,True,False,False,False
NM_026404,Slc35a4,probable UDP-sugar transporter protein SLC35A4,Not_candidate,False,0.996453323120924,0.123438475422,-2.527739223638637,0.999999999990223,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_028523,Dcbld2,"discoidin, CUB and LCCL domain-containing protein 2 precursor",Not_candidate,False,0.992498018565458,0.0456489622921,1.3291181686997269,0.206536261563811,27,27,3UTR,0,12,15,False,False,False,False,False,False,False,False,True,False,False,False
NM_026129,Erp29,endoplasmic reticulum resident protein 29 precursor,Not_candidate,False,0.989538114336784,-0.215137143383,-0.3775301821576191,0.999999999990223,18,18,CDS,0,13,5,True,False,False,False,False,False,False,False,False,False,True,True
NM_010330,Emb,embigin precursor,Not_candidate,False,0.9888410185688,-0.654822175399,1.5512245692295934,0.134838102252484,20,20,3UTR,0,9,11,False,False,False,False,False,False,False,False,True,False,False,False
NM_145537,Edem2,"ER degradation enhancer, mannosidase alpha-like 2 precursor",Not_candidate,False,0.984506004490236,-0.105837704765,0.5076344940639476,0.681079404669167,10,10,CDS,0,10,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_029570,Atp11b,"ATPase, class VI, type 11B",Not_candidate,False,0.983333328826577,-0.136689994223,1.7446018831501433,0.0852972750333297,42,42,CDS,0,35,7,False,False,False,False,False,False,True,False,False,False,False,True
NM_010578,Itgb1,integrin beta-1 precursor,A_and_B_overlap,True,0.979444222912698,-0.239489411647,2.078013483018943,0.0386559922092962,42,42,CDS,0,37,5,False,False,False,False,False,False,False,True,False,True,False,False
NM_025359,Tspan13,tetraspanin-13,Not_candidate,False,0.978674532532726,-0.222940251831,0.8282525825346646,0.456457397477543,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_001161413,Slc3a2,4F2 cell-surface antigen heavy chain isoform a,Not_candidate,False,0.975784456438448,-0.595070350013,0.8194856947801344,0.47071195724126,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_025523,Ndufc1,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial precursor",Not_candidate,False,0.973125851880124,-0.409600707447,0.542220066716845,0.645132960130991,2,2,3UTR,0,0,2,False,False,False,False,False,False,False,False,True,False,False,False
NM_030254,Tusc3,tumor suppressor candidate 3 precursor,Not_candidate,False,0.972415579400288,0.079290783541,1.26566940369447,0.227811894637342,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_145426,Mfap3,microfibril-associated glycoprotein 3 precursor,Not_candidate,False,0.968049988410789,0.0329788423529,0.957864001202247,0.386061296913906,21,21,3UTR,0,6,15,False,False,True,False,False,False,False,False,False,False,True,True
NM_198710,Sypl,synaptophysin-like protein 1 isoform 2,Not_candidate,False,0.966212229685931,-0.147354058263,1.2675048036668166,0.227544680343335,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_025813,Mfsd1,major facilitator superfamily domain-containing,A_and_B_overlap,True,0.961315607317394,-0.443285782833,2.51159743815334,0.0158550143098869,25,25,CDS,0,16,9,False,False,False,False,False,False,False,False,True,False,False,False
NM_012060,Bcap31,B-cell receptor-associated protein 31,Not_candidate,False,0.96109866957663,-0.570837827821,0.6619739916424919,0.570234187348195,9,9,tie,3,3,3,False,False,False,False,False,True,False,False,False,False,False,False
NM_013649,Ryk,tyrosine-protein kinase RYK isoform 1,Not_candidate,False,0.951432898113004,-0.0225947126781,0.1664942257617336,0.923409310764658,0,0,none,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False
NM_007469,Apoc1,apolipoprotein C-I precursor,Not_candidate,False,0.94962436228029,-0.294026177744,-0.7791128530078844,0.999999999990223,1,1,CDS,0,1,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_181391,Chchd7,coiled-coil-helix-coiled-coil-helix,Not_candidate,False,0.94772593862265,-0.307267710369,0.077570561701552,0.981605382236522,4,4,CDS,1,3,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_011405,Slc7a7,Y+L amino acid transporter 1,Not_candidate,False,0.946981909996888,-0.913370454929,0.1312553517722588,0.947730181187867,0,0,none,0,0,0,False,False,False,False,False,False,True,False,False,False,False,True
NM_028065,Cnpy3,protein canopy homolog 3 precursor,Not_candidate,False,0.939299207053458,0.0749870012281,0.8692531533877063,0.440835733774451,7,7,CDS,0,7,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_001083882,1600012H06Rik,UPF0669 protein C6orf120 homolog precursor,Not_candidate,False,0.938285915465929,-0.264567801844,0.4447656128338427,0.721569198797704,8,8,3UTR,0,2,6,False,False,False,False,False,False,False,False,True,False,False,False
NM_026400,Dnajb11,dnaJ homolog subfamily B member 11 precursor,A_and_B_overlap,True,0.938011787360047,-0.409101362056,2.70613070077,0.0121555338250289,11,11,CDS,0,11,0,True,False,False,False,False,False,False,False,False,False,True,True
NM_025823,Pcyox1,prenylcysteine oxidase precursor,Not_candidate,False,0.937542450797372,-0.319964741377,0.948174924225689,0.38752454323091,27,27,3UTR,0,10,17,False,False,False,False,False,False,False,False,True,False,False,False
NM_024207,Derl1,derlin-1,Not_candidate,False,0.929223146940322,-0.265124913865,0.7238968320832617,0.534421419166181,13,13,3UTR,0,5,8,False,False,False,False,False,False,False,False,True,False,False,False
NM_021610,Gpa33,cell surface A33 antigen precursor,Not_candidate,False,0.928297200023208,0.336434718328,0.868280568029114,0.440835638912399,13,13,CDS,2,10,1,False,False,False,False,False,False,False,False,True,False,False,False
NM_011197,Ptgfrn,prostaglandin F2 receptor negative regulator precursor,Not_candidate,False,0.923948886199291,0.858137179978,1.7584922845437465,0.0839588562445065,33,33,CDS,0,17,16,False,False,False,False,False,True,False,False,False,False,False,False
NM_001048250,2810008M24Rik,UPF0542 protein C5orf43 homolog,Not_candidate,False,0.920047114199554,-0.564203103915,-0.0649032719867356,0.999999999990223,6,6,3UTR,0,1,5,False,False,False,False,False,False,False,False,True,False,False,False
NM_010634,Fabp5,"fatty acid-binding protein, epidermal",Not_candidate,False,0.918866677764409,-1.08321158312,0.959186740329202,0.382407336893049,8,8,CDS,0,8,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_026911,Spcs1,signal peptidase complex subunit 1,Not_candidate,False,0.916250154750192,0.0351885261703,-0.2015787314857778,0.999999999990223,0,0,none,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False
NM_030018,Tmem50b,transmembrane protein 50B,Not_candidate,False,0.914935225383797,-0.231422761829,0.3519219866741745,0.781385218076639,0,0,none,0,0,0,False,True,False,False,False,False,False,False,False,False,True,True
NM_146035,Mgat2,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Not_candidate,False,0.912845905956672,0.0317516177556,0.4479950335546627,0.718086196752275,5,5,CDS,0,4,1,False,False,True,False,False,False,False,False,False,False,True,True
NM_011508,Eif1,eukaryotic translation initiation factor 1,Not_candidate,False,0.910212294455759,-0.0792089790994,-1.45440642128235,0.999999999990223,15,15,3UTR,1,4,10,False,False,False,False,False,False,False,False,True,False,False,False
NM_153592,Erlin2,erlin-2,Not_candidate,False,0.908500292368109,-0.428166834546,1.23940989546749,0.242021963716793,27,27,3UTR,1,11,15,False,False,False,False,False,False,False,False,True,False,False,False
NM_028121,Adpgk,ADP-dependent glucokinase precursor,Not_candidate,False,0.903438109382808,-0.342324187638,-0.7174809515096233,0.999999999990223,10,10,CDS,0,7,3,False,False,False,False,False,True,False,False,False,False,False,False
