Accession,Gene Symbol,CLIP-seq p-value,CLIP-seq FDR,RNA-seq reads (for normalization),CLIP-seq reads (35L33G),"CLIP-seq enrichment (35L33G, log2)",CLIP-seq reads (2J3),"CLIP-seq enrichment (2J3, log2)",CLIP-seq reads (polyclonal),"CLIP-seq enrichment (polyclonal, log2)",Ribosome density change (log2),Ribosome occupancy change (log2),RPF  reads (siLuc),RNA-seq short tag alignment reads (siLuc),RPF  reads (siLin28a),RNA-seq short tag alignment reads (siLin28a),"RNA-seq reads (untreated, RPKM)","RNA-seq reads (siLuc, RPKM)","RNA-seq reads (siLin28a, RPKM)",RNA-seq mRNA change upon Lin28a KD (log2),Description
NM_013760,Dnajb9,0.0117486892997037,0.185795324639708,107.0,306.0,1.50720734320671,302.0,1.48828648130948,241.0,1.16397573511112,,,,,,,7.89028231904,8.48473729994,7.89028231904,0.103527508734,dnaJ homolog subfamily B member 9 precursor
NM_013761,Srr,,,,,,,,,,,,,,,,21.1568120798,16.8583916769,21.1568120798,-0.325925897554,serine racemase
NM_013764,Dguok,0.945968321732594,0.999999999990223,77.0,13.0,-2.47804729680464,52.0,-0.557481764299049,9.0,-2.96347412397488,,,,,,,9.64152434071,8.6285634538,9.64152434071,-0.158403306196,"deoxyguanosine kinase, mitochondrial isoform 1"
NM_013769,Tjp3,0.999465905049569,0.999999999990223,331.0,62.0,-2.397759507847,37.0,-3.12711191790333,42.0,-2.94877467664482,,,,,,,8.56237979021,16.2804368467,8.56237979021,0.91913850055,tight junction protein ZO-3
NM_013770,Slc25a10,0.99517997514859,0.999999999990223,160.0,42.0,-1.90465212341251,35.0,-2.1609918766723,22.0,-2.8073549220576,,,,,,,3.61195605614,4.63269447609,3.61195605614,0.350482159163,mitochondrial dicarboxylate carrier
NM_013774,Tcl1b4,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,protein TCL1B4
NM_013775,Tcl1b2,,,,,,,,,,,,,,,,0.397748712272,0.0,0.397748712272,-2.31541758355,protein TCL1B2
NM_013778,Akr1c13,,,,,,,,,,,,,,,,0.108584537522,1.01401455044,0.108584537522,2.417063957,aldo-keto reductase family 1 member C13
NM_013779,Magel2,,,,,,,,,,,,,,,,0.0860850387564,0.111653253802,0.0860850387564,0.185740600433,MAGE-like protein 2
NM_013780,Npas3,,,,,,,,,,,,,,,,0.159284410885,0.230204357881,0.159284410885,0.34882369162,neuronal PAS domain-containing protein 3
NM_013781,Sh2d3c,0.983593569360116,0.999999999990223,54.0,15.0,-1.78135971352466,5.0,-3.1963972128035,20.0,-1.38904229074589,,,,,,,1.21812429475,1.59120592218,1.21812429475,0.359565915676,SH2 domain-containing protein 3C isoform 1
NM_013783,Mmel1,,,,,,,,,,,,,,,,1.63974852168,1.80775627718,1.63974852168,0.132998092054,membrane metallo-endopeptidase-like 1
NM_013784,Pign,0.173717795738968,0.788039603339715,287.0,295.0,0.0395283641866372,329.0,0.196397212803503,503.0,0.807354922057604,,,,,,,7.21778194132,6.84803322408,7.21778194132,-0.0748017734783,GPI ethanolamine phosphate transferase 1
NM_013788,Peg12,,,,,,,,,,,,,,,,0.50672784177,0.709810185305,0.50672784177,0.41653427262,paternally expressed 12
